in,em,ba,hs,en,ag,hh,he,be,ci,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
NO,YES,NO,YES,YES,NO,*,NO,*,YES,76,173,"1,043,007","490,363",0.4701
*,NO,*,YES,*,YES,YES,*,*,YES,43,173,"929,448","209,624",0.2255
NO,YES,*,*,*,*,*,NO,NO,*,0,173,"1,028,740",0,0.0000
YES,NO,NO,NO,YES,NO,NO,YES,NO,*,0,173,"1,189,735",0,0.0000
YES,NO,*,NO,YES,NO,NO,YES,NO,*,0,173,"1,189,735",0,0.0000
*,*,*,YES,NO,NO,*,YES,NO,*,0,173,"1,390,066",0,0.0000
NO,YES,YES,YES,*,NO,NO,*,NO,*,1,173,"1,205,312","9,758",0.0081
NO,YES,YES,*,*,NO,NO,*,NO,*,1,173,"1,205,312","9,758",0.0081
NO,NO,NO,YES,*,*,YES,*,NO,*,0,173,"1,116,503",0,0.0000
NO,*,*,YES,YES,YES,NO,NO,YES,*,162,173,"797,048","722,741",0.9068
NO,*,NO,NO,YES,NO,*,NO,YES,*,165,173,"813,210","759,334",0.9337
NO,*,*,NO,YES,NO,*,NO,YES,*,165,173,"813,210","759,334",0.9337
YES,*,NO,YES,YES,YES,*,NO,YES,*,157,173,"880,753","787,195",0.8938
YES,NO,NO,NO,*,YES,*,NO,YES,*,167,173,"823,118","796,867",0.9681
YES,NO,*,NO,*,YES,*,NO,YES,*,167,173,"823,118","796,867",0.9681
*,YES,NO,NO,YES,*,NO,*,YES,*,143,173,"1,079,602","881,864",0.8168
*,YES,*,NO,YES,*,NO,*,YES,*,143,173,"1,079,602","881,864",0.8168
YES,*,NO,YES,YES,*,YES,NO,*,*,59,173,"1,095,189","382,132",0.3489
YES,*,*,*,NO,NO,NO,YES,*,*,31,173,"1,349,442","240,858",0.1785
*,YES,*,*,NO,*,YES,*,*,*,40,173,"1,281,862","253,719",0.1979
YES,*,NO,NO,NO,NO,*,*,*,*,41,173,"1,247,342","289,900",0.2324
YES,*,*,NO,NO,NO,*,*,*,*,41,173,"1,247,342","289,900",0.2324
*,YES,*,YES,NO,NO,*,*,*,*,37,173,"1,438,644","275,821",0.1917
NO,*,*,*,*,*,YES,*,NO,NO,0,172,"1,182,606",0,0.0000
YES,*,NO,*,YES,*,YES,YES,*,NO,37,172,"1,354,159","297,916",0.2200
YES,NO,*,YES,YES,*,*,YES,*,NO,15,172,"1,767,320","140,668",0.0796
NO,*,NO,YES,YES,NO,*,*,*,NO,47,172,"1,324,964","361,841",0.2731
NO,*,NO,YES,YES,NO,NO,NO,NO,YES,1,172,"979,526","8,927",0.0091
NO,*,NO,YES,*,NO,NO,NO,NO,YES,1,172,"979,526","8,927",0.0091
NO,*,*,YES,YES,YES,NO,NO,YES,YES,161,172,"792,743","718,436",0.9063
*,YES,*,YES,*,*,NO,NO,YES,YES,146,172,"1,116,331","961,716",0.8615
*,*,*,YES,*,*,YES,NO,YES,YES,153,172,"1,073,547","958,865",0.8932
YES,NO,NO,YES,*,YES,*,YES,YES,YES,147,172,"1,056,502","906,258",0.8578
NO,YES,NO,*,YES,NO,NO,NO,*,YES,70,172,"1,020,429","429,935",0.4213
*,NO,*,*,*,YES,YES,NO,*,YES,84,172,"839,307","408,205",0.4864
*,YES,*,*,YES,*,YES,NO,*,YES,59,172,"1,182,880","437,694",0.3700
NO,YES,NO,NO,YES,NO,*,YES,NO,*,0,172,"1,054,908",0,0.0000
NO,YES,*,NO,YES,NO,*,YES,NO,*,0,172,"1,054,908",0,0.0000
*,*,*,YES,YES,YES,YES,*,NO,*,0,172,"898,710",0,0.0000
YES,NO,NO,YES,YES,YES,*,YES,YES,*,146,172,"1,042,015","888,579",0.8528
*,YES,NO,*,*,*,YES,NO,*,*,63,172,"1,180,350","445,728",0.3776
YES,*,NO,NO,NO,*,NO,*,*,*,57,172,"1,158,568","379,697",0.3277
YES,*,*,NO,NO,*,NO,*,*,*,57,172,"1,158,568","379,697",0.3277
*,NO,NO,NO,NO,YES,*,*,*,*,115,172,"1,082,422","721,998",0.6670
*,NO,*,NO,NO,YES,*,*,*,*,115,172,"1,082,422","721,998",0.6670
*,YES,NO,NO,*,*,NO,YES,NO,NO,1,171,"1,225,207","9,664",0.0079
*,YES,*,NO,*,*,NO,YES,NO,NO,1,171,"1,225,207","9,664",0.0079
*,YES,NO,*,NO,NO,*,*,NO,NO,1,171,"1,294,878","9,664",0.0075
YES,YES,NO,YES,YES,NO,*,*,NO,NO,1,171,"1,503,704","5,021",0.0033
*,*,*,*,*,*,YES,YES,YES,NO,154,171,"1,218,395","1,120,323",0.9195
*,*,NO,*,YES,NO,*,YES,YES,NO,144,171,"1,365,508","1,182,541",0.8660
*,*,NO,NO,*,NO,*,*,YES,NO,152,171,"1,191,950","1,079,348",0.9055
*,*,*,NO,*,NO,*,*,YES,NO,152,171,"1,191,950","1,079,348",0.9055
*,*,NO,NO,*,YES,*,YES,*,NO,65,171,"1,224,671","410,229",0.3350
*,*,*,NO,*,YES,*,YES,*,NO,65,171,"1,224,671","410,229",0.3350
*,*,NO,NO,YES,NO,NO,*,*,NO,33,171,"1,226,952","252,357",0.2057
*,*,*,NO,YES,NO,NO,*,*,NO,33,171,"1,226,952","252,357",0.2057
*,NO,NO,*,*,NO,YES,*,*,NO,62,171,"1,243,093","477,169",0.3839
*,NO,*,*,YES,YES,*,*,*,NO,60,171,"1,247,323","376,457",0.3018
YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,1,171,"1,284,232","25,277",0.0197
YES,YES,YES,*,YES,NO,NO,NO,NO,YES,1,171,"1,284,232","25,277",0.0197
*,*,*,*,*,NO,YES,NO,NO,YES,1,171,"1,172,939","11,210",0.0096
*,YES,NO,YES,YES,YES,*,NO,NO,YES,0,171,"883,042",0,0.0000
*,YES,NO,NO,YES,YES,*,*,NO,YES,0,171,"917,348",0,0.0000
*,YES,*,NO,YES,YES,*,*,NO,YES,0,171,"917,348",0,0.0000
*,NO,NO,NO,*,NO,NO,NO,YES,YES,164,171,"806,948","764,367",0.9472
*,NO,*,NO,*,NO,NO,NO,YES,YES,164,171,"806,948","764,367",0.9472
NO,NO,*,YES,YES,YES,*,NO,YES,YES,160,171,"789,759","715,452",0.9059
*,YES,NO,NO,YES,NO,*,*,YES,YES,148,171,"1,129,273","968,607",0.8577
*,YES,*,NO,YES,NO,*,*,YES,YES,148,171,"1,129,273","968,607",0.8577
*,YES,NO,NO,YES,YES,NO,*,*,YES,18,171,"872,158","78,689",0.0902
*,YES,*,NO,YES,YES,NO,*,*,YES,18,171,"872,158","78,689",0.0902
NO,NO,NO,*,*,NO,*,NO,NO,*,1,171,"964,454","8,927",0.0093
*,YES,NO,YES,YES,YES,*,NO,NO,*,0,171,"883,042",0,0.0000
NO,YES,YES,YES,YES,NO,NO,*,NO,*,1,171,"1,191,502","9,758",0.0082
NO,YES,YES,*,YES,NO,NO,*,NO,*,1,171,"1,191,502","9,758",0.0082
*,NO,YES,YES,YES,*,YES,*,NO,*,0,171,"1,378,050",0,0.0000
*,NO,YES,*,YES,*,YES,*,NO,*,0,171,"1,378,050",0,0.0000
NO,NO,*,YES,YES,YES,*,NO,YES,*,160,171,"789,759","715,452",0.9059
YES,YES,NO,*,*,NO,YES,YES,YES,*,146,171,"1,274,685","1,079,229",0.8467
*,NO,YES,YES,*,*,*,YES,YES,*,145,171,"1,267,306","1,059,703",0.8362
*,NO,YES,*,*,*,*,YES,YES,*,145,171,"1,267,306","1,059,703",0.8362
YES,NO,*,YES,YES,*,YES,*,YES,*,150,171,"1,288,529","1,093,863",0.8489
*,*,*,*,NO,NO,*,*,YES,*,161,171,"1,163,769","1,087,494",0.9345
YES,*,NO,*,YES,NO,YES,NO,*,*,69,171,"1,201,618","475,699",0.3959
NO,*,NO,NO,NO,*,*,YES,*,*,80,171,"1,070,020","454,909",0.4251
NO,*,*,NO,NO,*,*,YES,*,*,80,171,"1,070,020","454,909",0.4251
*,*,NO,YES,YES,YES,YES,*,*,*,33,171,"874,214","169,117",0.1935
*,YES,NO,NO,*,NO,NO,*,NO,NO,1,170,"1,227,424","9,664",0.0079
*,YES,*,NO,*,NO,NO,*,NO,NO,1,170,"1,227,424","9,664",0.0079
NO,NO,NO,*,YES,*,*,YES,*,NO,72,170,"1,181,517","514,898",0.4358
NO,YES,*,YES,*,NO,*,*,*,NO,37,170,"1,287,951","321,710",0.2498
YES,NO,NO,*,*,NO,*,*,*,NO,42,170,"1,392,465","364,236",0.2616
NO,NO,*,*,YES,NO,*,NO,NO,YES,1,170,"931,907","8,927",0.0096
*,*,*,YES,YES,YES,YES,*,NO,YES,0,170,"882,225",0,0.0000
*,*,*,YES,YES,*,YES,NO,YES,YES,151,170,"1,064,714","950,032",0.8923
*,YES,NO,YES,*,NO,*,NO,YES,YES,142,170,"1,116,686","956,286",0.8564
YES,*,NO,YES,YES,YES,*,NO,YES,YES,154,170,"860,735","767,176",0.8913
*,YES,YES,YES,YES,NO,NO,YES,YES,YES,126,170,"1,399,669","1,094,385",0.7819
*,YES,YES,*,YES,NO,NO,YES,YES,YES,126,170,"1,399,669","1,094,385",0.7819
*,YES,YES,YES,*,NO,NO,YES,YES,YES,126,170,"1,399,669","1,094,385",0.7819
*,YES,YES,*,*,NO,NO,YES,YES,YES,126,170,"1,399,669","1,094,385",0.7819
YES,NO,NO,NO,YES,NO,*,*,YES,YES,149,170,"1,025,887","895,001",0.8724
YES,NO,*,NO,YES,NO,*,*,YES,YES,149,170,"1,025,887","895,001",0.8724
*,NO,NO,NO,YES,NO,YES,YES,*,YES,68,170,"1,077,221","368,246",0.3418
*,NO,*,NO,YES,NO,YES,YES,*,YES,68,170,"1,077,221","368,246",0.3418
*,*,NO,YES,YES,YES,YES,*,*,YES,33,170,"866,640","169,117",0.1951
*,*,NO,*,NO,NO,NO,YES,NO,*,1,170,"1,295,459","9,664",0.0075
NO,NO,*,YES,*,NO,YES,*,NO,*,0,170,"1,148,577",0,0.0000
NO,NO,YES,YES,YES,*,*,*,NO,*,0,170,"1,239,128",0,0.0000
NO,NO,YES,*,YES,*,*,*,NO,*,0,170,"1,239,128",0,0.0000
YES,NO,*,YES,YES,YES,NO,NO,YES,*,156,170,"848,908","762,373",0.8981
NO,NO,NO,NO,*,NO,*,YES,YES,*,155,170,"978,834","904,738",0.9243
NO,NO,*,NO,*,NO,*,YES,YES,*,155,170,"978,834","904,738",0.9243
NO,YES,NO,NO,YES,NO,NO,YES,*,*,46,170,"1,032,128","282,732",0.2739
NO,YES,*,NO,YES,NO,NO,YES,*,*,46,170,"1,032,128","282,732",0.2739
*,*,NO,NO,NO,*,YES,YES,*,*,65,170,"1,147,532","421,919",0.3677
*,*,*,NO,NO,*,YES,YES,*,*,65,170,"1,147,532","421,919",0.3677
*,NO,NO,NO,NO,*,*,YES,*,*,94,170,"1,119,896","598,154",0.5341
*,NO,*,NO,NO,*,*,YES,*,*,94,170,"1,119,896","598,154",0.5341
YES,YES,NO,NO,YES,NO,YES,*,*,*,24,170,"1,390,170","190,917",0.1373
YES,YES,*,NO,YES,NO,YES,*,*,*,24,170,"1,390,170","190,917",0.1373
YES,*,*,YES,NO,NO,*,*,*,*,35,170,"1,437,954","283,545",0.1972
YES,YES,NO,NO,*,NO,*,YES,NO,NO,1,169,"1,236,665","9,664",0.0078
YES,YES,*,NO,*,NO,*,YES,NO,NO,1,169,"1,236,665","9,664",0.0078
*,YES,NO,*,NO,*,*,YES,NO,NO,1,169,"1,266,273","9,664",0.0076
NO,*,NO,NO,*,*,*,*,YES,NO,154,169,"1,080,709","994,825",0.9205
NO,*,*,NO,*,*,*,*,YES,NO,154,169,"1,080,709","994,825",0.9205
YES,NO,*,*,*,NO,NO,YES,*,NO,15,169,"1,769,185","147,260",0.0832
YES,*,*,*,YES,NO,YES,YES,*,NO,31,169,"1,374,272","264,691",0.1926
*,NO,*,*,YES,*,YES,YES,*,NO,60,169,"1,251,522","443,282",0.3542
YES,YES,NO,YES,*,NO,NO,*,*,NO,20,169,"1,514,513","173,565",0.1146
NO,NO,*,*,YES,NO,YES,*,NO,YES,0,169,"1,120,136",0,0.0000
*,YES,*,YES,YES,*,NO,NO,YES,YES,143,169,"1,095,417","940,802",0.8589
NO,*,*,*,YES,NO,YES,NO,*,YES,111,169,"977,107","633,940",0.6488
*,*,*,*,YES,YES,YES,NO,*,YES,81,169,"804,794","408,749",0.5079
YES,*,NO,YES,YES,*,YES,NO,*,YES,57,169,"1,054,250","361,596",0.3430
*,NO,NO,NO,YES,NO,NO,NO,YES,*,161,169,"813,535","761,184",0.9357
*,NO,*,NO,YES,NO,NO,NO,YES,*,161,169,"813,535","761,184",0.9357
YES,NO,NO,YES,*,YES,NO,YES,YES,*,144,169,"1,018,938","881,737",0.8653
*,NO,NO,NO,*,NO,YES,*,YES,*,154,169,"991,875","896,073",0.9034
*,NO,*,NO,*,NO,YES,*,YES,*,154,169,"991,875","896,073",0.9034
YES,YES,NO,YES,*,*,YES,*,YES,*,142,169,"1,247,554","1,045,968",0.8384
NO,YES,NO,NO,*,NO,*,*,YES,*,149,169,"1,061,955","942,018",0.8871
NO,YES,*,NO,*,NO,*,*,YES,*,149,169,"1,061,955","942,018",0.8871
YES,YES,NO,YES,*,YES,*,NO,*,*,12,169,"902,197","74,081",0.0821
YES,*,NO,*,NO,NO,NO,*,*,*,41,169,"1,278,003","324,694",0.2541
YES,YES,NO,NO,*,YES,NO,*,*,*,12,169,"922,398","65,816",0.0714
YES,YES,*,NO,*,YES,NO,*,*,*,12,169,"922,398","65,816",0.0714
YES,NO,YES,YES,*,*,YES,*,*,*,16,169,"1,366,030","106,584",0.0780
YES,NO,YES,*,*,*,YES,*,*,*,16,169,"1,366,030","106,584",0.0780
*,YES,NO,YES,YES,NO,NO,YES,NO,NO,0,168,"1,437,763",0,0.0000
YES,*,NO,NO,*,*,NO,YES,NO,NO,1,168,"1,285,073","9,664",0.0075
YES,*,*,NO,*,*,NO,YES,NO,NO,1,168,"1,285,073","9,664",0.0075
*,YES,*,*,NO,NO,*,YES,NO,NO,1,168,"1,273,016","9,664",0.0076
*,NO,NO,NO,*,*,*,YES,NO,NO,0,168,"1,236,843",0,0.0000
*,NO,*,NO,*,*,*,YES,NO,NO,0,168,"1,236,843",0,0.0000
*,*,*,*,*,NO,NO,*,YES,NO,144,168,"1,373,360","1,177,942",0.8577
YES,*,NO,*,*,*,*,*,YES,NO,153,168,"1,284,862","1,195,400",0.9304
*,YES,NO,NO,*,*,YES,YES,*,NO,39,168,"1,220,701","282,740",0.2316
*,YES,*,NO,*,*,YES,YES,*,NO,39,168,"1,220,701","282,740",0.2316
*,NO,NO,*,*,YES,*,YES,*,NO,62,168,"1,220,375","387,357",0.3174
*,*,NO,NO,*,NO,NO,NO,NO,YES,0,168,"960,029",0,0.0000
*,*,*,NO,*,NO,NO,NO,NO,YES,0,168,"960,029",0,0.0000
*,YES,NO,YES,*,YES,NO,NO,NO,YES,0,168,"893,889",0,0.0000
*,YES,NO,NO,*,*,YES,YES,NO,YES,1,168,"1,235,727","2,791",0.0023
*,YES,*,NO,*,*,YES,YES,NO,YES,1,168,"1,235,727","2,791",0.0023
YES,NO,*,YES,YES,YES,NO,NO,YES,YES,154,168,"834,868","748,333",0.8963
*,YES,NO,YES,YES,NO,*,NO,YES,YES,140,168,"1,099,522","939,122",0.8541
YES,YES,*,*,*,NO,YES,YES,YES,YES,143,168,"1,304,095","1,111,547",0.8524
NO,YES,*,*,*,*,YES,YES,YES,YES,145,168,"1,092,166","934,698",0.8558
YES,*,NO,NO,*,NO,*,YES,YES,YES,142,168,"1,148,950","977,248",0.8506
YES,*,*,NO,*,NO,*,YES,YES,YES,142,168,"1,148,950","977,248",0.8506
YES,NO,NO,YES,YES,YES,*,YES,YES,YES,143,168,"1,019,385","869,141",0.8526
*,*,NO,NO,YES,NO,YES,*,YES,YES,155,168,"956,220","876,316",0.9164
*,*,*,NO,YES,NO,YES,*,YES,YES,155,168,"956,220","876,316",0.9164
YES,YES,*,YES,YES,NO,YES,*,YES,YES,141,168,"1,285,419","1,096,655",0.8531
*,*,NO,NO,YES,*,YES,NO,*,YES,109,168,"906,092","565,954",0.6246
*,*,*,NO,YES,*,YES,NO,*,YES,109,168,"906,092","565,954",0.6246
*,YES,NO,NO,YES,*,*,NO,*,YES,44,168,"963,029","264,393",0.2745
*,YES,*,NO,YES,*,*,NO,*,YES,44,168,"963,029","264,393",0.2745
YES,*,NO,*,NO,*,*,YES,*,YES,54,168,"1,257,617","411,071",0.3269
NO,YES,NO,NO,*,NO,NO,*,*,YES,59,168,"992,734","352,865",0.3554
NO,YES,*,NO,*,NO,NO,*,*,YES,59,168,"992,734","352,865",0.3554
*,YES,NO,YES,*,YES,NO,NO,NO,*,0,168,"893,889",0,0.0000
NO,YES,YES,YES,*,*,NO,YES,NO,*,1,168,"1,176,039","9,758",0.0083
NO,YES,YES,*,*,*,NO,YES,NO,*,1,168,"1,176,039","9,758",0.0083
NO,*,NO,*,YES,*,YES,NO,YES,*,152,168,"934,707","835,310",0.8937
NO,*,NO,YES,*,YES,*,NO,YES,*,158,168,"764,719","698,015",0.9128
NO,*,NO,*,NO,*,*,*,YES,*,159,168,"1,015,619","963,598",0.9488
YES,NO,NO,*,YES,*,YES,NO,*,*,85,168,"949,442","475,965",0.5013
*,YES,NO,NO,*,NO,*,NO,*,*,55,168,"1,071,179","343,197",0.3204
*,YES,*,NO,*,NO,*,NO,*,*,55,168,"1,071,179","343,197",0.3204
*,YES,NO,NO,YES,YES,*,YES,*,*,23,168,"926,952","96,145",0.1037
*,YES,*,NO,YES,YES,*,YES,*,*,23,168,"926,952","96,145",0.1037
*,*,NO,YES,NO,*,NO,*,*,*,53,168,"1,356,585","422,432",0.3114
*,NO,NO,*,NO,NO,*,*,*,*,67,168,"1,134,748","436,967",0.3851
YES,YES,NO,YES,YES,*,*,YES,NO,NO,0,167,"1,469,664",0,0.0000
*,*,NO,*,*,*,YES,YES,YES,NO,151,167,"1,176,664","1,088,633",0.9252
*,NO,NO,*,*,*,*,YES,YES,NO,152,167,"1,197,465","1,101,088",0.9195
*,*,NO,*,YES,YES,*,YES,*,NO,54,167,"1,227,057","347,697",0.2834
NO,YES,NO,NO,*,*,*,YES,*,NO,49,167,"1,166,015","333,849",0.2863
NO,YES,*,NO,*,*,*,YES,*,NO,49,167,"1,166,015","333,849",0.2863
NO,*,*,YES,*,NO,NO,*,*,NO,43,167,"1,325,010","379,961",0.2868
NO,*,NO,YES,*,YES,*,NO,YES,YES,157,167,"756,389","689,684",0.9118
YES,YES,YES,YES,YES,*,NO,*,YES,YES,124,167,"1,359,141","1,034,323",0.7610
YES,YES,YES,*,YES,*,NO,*,YES,YES,124,167,"1,359,141","1,034,323",0.7610
YES,YES,YES,YES,*,*,NO,*,YES,YES,124,167,"1,359,141","1,034,323",0.7610
YES,YES,YES,*,*,*,NO,*,YES,YES,124,167,"1,359,141","1,034,323",0.7610
YES,NO,*,YES,*,*,YES,*,YES,YES,147,167,"1,262,635","1,069,193",0.8468
NO,*,YES,YES,*,*,*,*,YES,YES,152,167,"1,147,918","1,058,869",0.9224
NO,*,YES,*,*,*,*,*,YES,YES,152,167,"1,147,918","1,058,869",0.9224
YES,YES,NO,NO,YES,YES,*,*,*,YES,11,167,"893,210","48,101",0.0539
YES,YES,*,NO,YES,YES,*,*,*,YES,11,167,"893,210","48,101",0.0539
*,*,NO,NO,YES,NO,NO,NO,NO,*,0,167,"955,881",0,0.0000
*,*,*,NO,YES,NO,NO,NO,NO,*,0,167,"955,881",0,0.0000
NO,*,NO,NO,YES,*,*,NO,NO,*,0,167,"816,918",0,0.0000
NO,*,*,NO,YES,*,*,NO,NO,*,0,167,"816,918",0,0.0000
*,NO,NO,NO,*,NO,YES,*,NO,*,2,167,"1,160,804","22,322",0.0192
*,NO,*,NO,*,NO,YES,*,NO,*,2,167,"1,160,804","22,322",0.0192
YES,YES,NO,NO,YES,*,YES,*,NO,*,1,167,"1,328,058","2,791",0.0021
YES,YES,*,NO,YES,*,YES,*,NO,*,1,167,"1,328,058","2,791",0.0021
YES,NO,NO,YES,*,YES,*,NO,YES,*,153,167,"860,656","777,037",0.9028
NO,*,NO,NO,*,NO,NO,YES,YES,*,145,167,"976,691","863,900",0.8845
NO,*,*,NO,*,NO,NO,YES,YES,*,145,167,"976,691","863,900",0.8845
NO,YES,NO,YES,*,*,NO,NO,*,*,62,167,"996,738","381,286",0.3825
NO,YES,NO,NO,*,NO,YES,*,*,*,65,167,"1,076,804","441,224",0.4098
NO,YES,*,NO,*,NO,YES,*,*,*,65,167,"1,076,804","441,224",0.4098
*,NO,*,YES,YES,YES,YES,*,*,*,41,167,"889,706","197,043",0.2215
*,YES,NO,NO,YES,NO,*,YES,NO,NO,0,166,"1,210,072",0,0.0000
*,YES,*,NO,YES,NO,*,YES,NO,NO,0,166,"1,210,072",0,0.0000
YES,*,*,*,NO,*,*,YES,NO,NO,1,166,"1,327,424","9,664",0.0073
*,NO,*,YES,YES,*,NO,*,NO,NO,0,166,"1,675,396",0,0.0000
NO,*,*,*,YES,*,NO,*,NO,NO,0,166,"1,187,900",0,0.0000
YES,YES,NO,*,*,*,YES,YES,*,NO,28,166,"1,315,949","216,953",0.1649
*,NO,NO,NO,YES,NO,NO,NO,YES,YES,159,166,"793,459","750,878",0.9463
*,NO,*,NO,YES,NO,NO,NO,YES,YES,159,166,"793,459","750,878",0.9463
*,YES,NO,NO,*,*,*,YES,YES,YES,143,166,"1,040,739","897,732",0.8626
*,YES,*,NO,*,*,*,YES,YES,YES,143,166,"1,040,739","897,732",0.8626
YES,NO,*,*,YES,NO,YES,*,YES,YES,146,166,"1,235,833","1,060,587",0.8582
YES,NO,NO,*,*,NO,YES,*,YES,YES,145,166,"1,243,472","1,057,959",0.8508
YES,YES,NO,*,*,NO,YES,*,YES,YES,141,166,"1,224,073","1,030,127",0.8416
YES,YES,NO,YES,*,YES,*,NO,*,YES,10,166,"884,912","62,053",0.0701
NO,NO,YES,YES,*,*,NO,YES,*,YES,48,166,"1,210,410","318,673",0.2633
NO,NO,YES,*,*,*,NO,YES,*,YES,48,166,"1,210,410","318,673",0.2633
*,NO,YES,YES,*,*,YES,YES,*,YES,17,166,"1,348,477","110,506",0.0819
*,NO,YES,*,*,*,YES,YES,*,YES,17,166,"1,348,477","110,506",0.0819
NO,*,NO,YES,YES,YES,NO,NO,NO,*,0,166,"749,733",0,0.0000
NO,*,NO,YES,*,YES,NO,NO,NO,*,0,166,"749,733",0,0.0000
*,NO,*,*,*,*,YES,NO,NO,*,1,166,"961,026","11,210",0.0117
NO,YES,YES,YES,YES,*,NO,YES,NO,*,1,166,"1,165,503","9,758",0.0084
NO,YES,YES,*,YES,*,NO,YES,NO,*,1,166,"1,165,503","9,758",0.0084
NO,NO,NO,*,YES,NO,YES,YES,NO,*,0,166,"1,123,086",0,0.0000
*,*,NO,*,NO,*,YES,YES,NO,*,0,166,"1,201,084",0,0.0000
YES,*,*,*,NO,NO,NO,*,NO,*,2,166,"1,305,608","19,328",0.0148
NO,YES,NO,NO,*,NO,NO,*,NO,*,0,166,"1,058,267",0,0.0000
NO,YES,*,NO,*,NO,NO,*,NO,*,0,166,"1,058,267",0,0.0000
YES,YES,NO,*,NO,NO,*,*,NO,*,1,166,"1,311,004","9,664",0.0074
NO,*,NO,*,NO,*,*,*,NO,*,0,166,"1,150,458",0,0.0000
*,YES,NO,*,YES,NO,NO,NO,YES,*,136,166,"1,088,266","887,646",0.8157
*,NO,NO,NO,YES,NO,NO,YES,YES,*,145,166,"1,030,609","916,152",0.8889
*,NO,*,NO,YES,NO,NO,YES,YES,*,145,166,"1,030,609","916,152",0.8889
YES,NO,NO,YES,YES,YES,NO,YES,YES,*,141,166,"989,732","852,531",0.8614
*,NO,YES,YES,YES,*,*,YES,YES,*,140,166,"1,225,188","1,017,585",0.8306
*,NO,YES,*,YES,*,*,YES,YES,*,140,166,"1,225,188","1,017,585",0.8306
YES,YES,NO,YES,*,NO,YES,*,YES,*,140,166,"1,219,832","1,022,894",0.8386
*,*,NO,*,YES,YES,YES,NO,*,*,81,166,"784,300","399,337",0.5092
*,*,NO,*,NO,YES,*,YES,*,*,78,166,"1,105,537","508,225",0.4597
YES,*,NO,YES,YES,NO,NO,YES,NO,NO,0,165,"1,499,931",0,0.0000
*,YES,*,*,YES,*,YES,YES,NO,NO,0,165,"1,287,006",0,0.0000
NO,YES,*,*,YES,*,*,YES,NO,NO,0,165,"1,182,063",0,0.0000
*,NO,NO,*,YES,*,NO,*,NO,NO,0,165,"1,342,221",0,0.0000
YES,*,NO,*,NO,*,*,*,NO,NO,2,165,"1,278,478","19,328",0.0151
*,*,NO,NO,YES,*,*,*,YES,NO,146,165,"1,153,298","1,039,949",0.9017
*,*,*,NO,YES,*,*,*,YES,NO,146,165,"1,153,298","1,039,949",0.9017
NO,YES,NO,*,*,*,NO,YES,*,NO,34,165,"1,206,327","252,483",0.2093
NO,*,*,*,YES,NO,YES,YES,*,NO,53,165,"1,187,735","399,300",0.3362
YES,*,NO,NO,YES,NO,*,*,*,NO,25,165,"1,246,315","218,243",0.1751
YES,*,*,NO,YES,NO,*,*,*,NO,25,165,"1,246,315","218,243",0.1751
*,NO,NO,YES,YES,*,*,*,*,NO,41,165,"1,374,258","323,090",0.2351
*,YES,NO,YES,YES,YES,NO,NO,NO,YES,0,165,"859,090",0,0.0000
NO,*,NO,YES,YES,YES,NO,NO,NO,YES,0,165,"748,812",0,0.0000
NO,*,NO,YES,*,YES,NO,NO,NO,YES,0,165,"748,812",0,0.0000
*,*,*,*,YES,NO,YES,NO,NO,YES,1,165,"1,127,556","11,210",0.0099
YES,NO,NO,NO,*,NO,NO,YES,NO,YES,0,165,"1,130,768",0,0.0000
YES,NO,*,NO,*,NO,NO,YES,NO,YES,0,165,"1,130,768",0,0.0000
NO,YES,NO,NO,*,*,*,*,NO,YES,0,165,"913,236",0,0.0000
NO,YES,*,NO,*,*,*,*,NO,YES,0,165,"913,236",0,0.0000
NO,*,*,*,*,*,YES,NO,YES,YES,152,165,"919,211","836,195",0.9097
YES,NO,NO,YES,*,YES,NO,YES,YES,YES,141,165,"996,307","862,299",0.8655
YES,*,NO,*,*,NO,YES,NO,*,YES,66,165,"1,136,839","444,678",0.3912
NO,NO,YES,YES,YES,*,NO,YES,*,YES,47,165,"1,199,347","307,610",0.2565
NO,NO,YES,*,YES,*,NO,YES,*,YES,47,165,"1,199,347","307,610",0.2565
*,NO,*,YES,YES,YES,YES,*,*,YES,41,165,"873,221","197,043",0.2257
NO,NO,YES,YES,*,NO,*,*,*,YES,52,165,"1,213,539","361,012",0.2975
NO,NO,YES,*,*,NO,*,*,*,YES,52,165,"1,213,539","361,012",0.2975
*,NO,NO,*,NO,YES,*,*,*,YES,103,165,"1,083,932","684,101",0.6311
*,YES,NO,YES,YES,YES,NO,NO,NO,*,0,165,"859,090",0,0.0000
*,*,NO,YES,*,*,YES,NO,NO,*,0,165,"1,000,295",0,0.0000
YES,*,NO,*,*,*,YES,NO,NO,*,1,165,"1,051,147","11,210",0.0107
NO,NO,NO,YES,*,YES,*,NO,NO,*,0,165,"734,341",0,0.0000
*,*,NO,NO,YES,NO,YES,YES,YES,*,148,165,"1,058,233","959,634",0.9068
*,*,*,NO,YES,NO,YES,YES,YES,*,148,165,"1,058,233","959,634",0.9068
YES,YES,*,YES,YES,*,YES,YES,YES,*,139,165,"1,296,734","1,108,467",0.8548
YES,YES,YES,YES,*,NO,*,YES,YES,*,124,165,"1,451,882","1,159,976",0.7989
YES,YES,YES,*,*,NO,*,YES,YES,*,124,165,"1,451,882","1,159,976",0.7989
